,Review
0,"Hotel Danieli was unlike any other hotel we've ever stayed in! Its classic and elegant look was so well preserved. Customer service was unmatched! It is located 1 minute away from San Marco, which makes it very convenient for late nights!"
1,"+We were in Venice for the Carnival and a Masked Ball. Everything humanly possible to influence was wonderful. We could not fault the hotel, its wonderful staff or Venice itself..
-Well, coming home to the coronavirus situation and being quarantined because I had a slight cough that arose in N Italy wasn't great ; but that really wasn't anyone at the hotel's fault!."
2,"+Bed was comfy, beautifully furnished, lovely bathroom, excellent location, nice lounge bar. A great place to enjoy the Venice Carnival..
-Check in took awhile but they upgraded me to apologise.."
3,"-Was sent to another building, not the main one. Didnt like it. The main building is much prettier.."
4,"+One of our favourite hotels. excellent breakfast, attentive staff and a wonderful atmosphere..
-There was nothing that we didn't like about this stay.."
5,"+The magnificent building, the luxury, the friendliness of the staff. The bed was extremely comfortable! They made our stay memorable!.
-Nothing. Everything was perfect!."
6,"great hotel! very good location. do try the restaurant on the top floor, the views are spectacular!
"
7,This was (is) a fabulous hotel with outstanding levels of service and staff attention to detail all of which is wrapped up in the most magical backdrop that is Venice. I/we can't wait to visit again soon ...
8,"Great, very helpful staff. Wonderful historical building. Amazing rooftop view.
"
9,The main building was built in 1492 it had character rarely seen the bed was very comfortable and the staff was very friendly the downside it was loud and you need eat plugs to take a nap.Also the heating and cooling is a little hard to control
10,"Our stay was not at the level of a Luxury Hotel. Much attention is need for the comfort of the room and cleanliness. For the tired traveler, comfort and the value in the 5 star restaurant are paramount."
11,"Most luxurious hotel I have ever stayed. I am 74 and the thoughtfulness was without limits.
A beautiful property. Best location."
12,"Very nice place. We stayed here for 5 nights and had a great photoshoot here with guys from Orbis. Very picturesque and historic hotel. Recommend Hotel Daniele!
"
13,"Really nice but really expensive £20 + cocktails, £15+ wine, £10 beers. That said did get complimentary bar snacks
"
14,"Danieli is THE hotel in Venice. Classic, right next to San Marco, best view of Venice, charming, luxury, calm. Creates memory"
15,"The room was beautiful, quiet and had an amazing view. Staff gave us excellent recommendations for places to eat. Staff were also helpful with rain gear to deal with high tide. Would absolutely stay here again!"
16,"We enjoyed Danieli for the “Afternoon Tea time”. Reservation was smooth and friendly with the help of Martina. We had the chance to visit the “Terrazza Danieli” on the roof which was amazing, then we relaxed in Bar Dandolo for the tea. The service was great and the food outstanding. Will be back and would recommend for sure!
"
17,Lovely historical buildings in a fantastic location. Service and room were both excellent. Breakfast was good but not exceptional.
18,"A hotel that helps a colleague make a mistake. This family was good in all aspects of the evaluation and chose this family. The hotel's been making good comments. Nice position, too! Good recommendation!"
19,-The room too small for 3 adults: I was expecting an upgrade as they did To a friend of mine who was Aline..
20,This is splendid historic building and all the pros and cons follow from this. Don't expect too much.
21,"The hotel is besides doges palace in Venice of beautiful architectural beauty and out side color makes pretty with great service and luxery and historical built near canal water ..The vast lobby and terrace for full view of canal boating …
"
22,Fantastic Service! Beautiful View! Delicious Food!
23,"Disclaimer, I did not stay at this hotel, merely visited and took some photos as this hotel was used in reference to one of my favourite TV shows. The architecture outside along with the color makes this building stand out, probably also …
"
24,"The hotel is beautiful or was at one time. It needs a major renovation of rooms. They are dated, dusty and dirty feeling. The lobby is amazing and the location. They either need to renovate or lower pricing"
25,"This is a classic top hotel experience. The proximity to St Marks and the Doges was about as close as you can get but not noisy. Of course, the price is the highest Ive ever paid but was a one night add on to our tour."
26,"Luxury hotel in heart of venice. Amazing terrace.
"
27,"From the moment you enter the beautiful lobby, you are treated as if you are a guest in their home. The exquisite decor made me just look around in awe. The service could not have been any better!"
28,A historic place with the historically aging hotel. Staffs were friendly and experienced professionals. Hotel was in a bad shape needs to be refreshed. Bathroom was aged and not up to date luxury bathroom. Over all not clean.
